[24/11/24 13:42:38, INFO, FSL_SAGE_main.py:<module>():404] Using GPU: True
[24/11/24 13:42:40, INFO, FSL_SAGE_main.py:main():107] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[24/11/24 13:42:40, INFO, FSL_SAGE_main.py:main():112] Random seed: 200
[24/11/24 13:42:40, INFO, FSL_SAGE_main.py:main():113] Alignment interval (l): 10
[24/11/24 13:42:40, INFO, FSL_SAGE_main.py:main():114] Batch Round (h): 5
[24/11/24 13:43:06, INFO, FSL_SAGE_main.py:main():353]  > R  0, for the weighted aggregated final model, testing loss: 2.0409e+00, testing acc: 22.26% ( 2226/10000), training loss: 2.10, training acc: 20.87%
[24/11/24 13:43:32, INFO, FSL_SAGE_main.py:main():353]  > R  1, for the weighted aggregated final model, testing loss: 1.8046e+00, testing acc: 31.67% ( 3167/10000), training loss: 1.91, training acc: 27.81%
[24/11/24 13:43:57, INFO, FSL_SAGE_main.py:main():353]  > R  2, for the weighted aggregated final model, testing loss: 1.6825e+00, testing acc: 38.07% ( 3807/10000), training loss: 1.83, training acc: 32.05%
[24/11/24 13:44:23, INFO, FSL_SAGE_main.py:main():353]  > R  3, for the weighted aggregated final model, testing loss: 1.6225e+00, testing acc: 39.33% ( 3933/10000), training loss: 1.75, training acc: 34.26%
[24/11/24 13:44:48, INFO, FSL_SAGE_main.py:main():353]  > R  4, for the weighted aggregated final model, testing loss: 1.6453e+00, testing acc: 40.45% ( 4045/10000), training loss: 1.79, training acc: 35.64%
[24/11/24 13:45:14, INFO, FSL_SAGE_main.py:main():353]  > R  5, for the weighted aggregated final model, testing loss: 1.6351e+00, testing acc: 40.45% ( 4045/10000), training loss: 1.77, training acc: 35.56%
[24/11/24 13:45:39, INFO, FSL_SAGE_main.py:main():353]  > R  6, for the weighted aggregated final model, testing loss: 1.5893e+00, testing acc: 41.11% ( 4111/10000), training loss: 1.72, training acc: 36.55%
[24/11/24 13:46:05, INFO, FSL_SAGE_main.py:main():353]  > R  7, for the weighted aggregated final model, testing loss: 1.5098e+00, testing acc: 44.18% ( 4418/10000), training loss: 1.64, training acc: 39.93%
[24/11/24 13:46:30, INFO, FSL_SAGE_main.py:main():353]  > R  8, for the weighted aggregated final model, testing loss: 1.4861e+00, testing acc: 45.53% ( 4553/10000), training loss: 1.62, training acc: 40.39%
[24/11/24 13:46:56, INFO, FSL_SAGE_main.py:main():353]  > R  9, for the weighted aggregated final model, testing loss: 1.5469e+00, testing acc: 43.23% ( 4323/10000), training loss: 1.66, training acc: 39.21%
[24/11/24 13:47:24, INFO, FSL_SAGE_main.py:main():353]  > R 10, for the weighted aggregated final model, testing loss: 1.3940e+00, testing acc: 49.77% ( 4977/10000), training loss: 1.55, training acc: 43.81%
[24/11/24 13:47:50, INFO, FSL_SAGE_main.py:main():353]  > R 11, for the weighted aggregated final model, testing loss: 1.3793e+00, testing acc: 48.95% ( 4895/10000), training loss: 1.54, training acc: 43.28%
[24/11/24 13:48:15, INFO, FSL_SAGE_main.py:main():353]  > R 12, for the weighted aggregated final model, testing loss: 1.3182e+00, testing acc: 51.72% ( 5172/10000), training loss: 1.48, training acc: 45.64%
[24/11/24 13:48:41, INFO, FSL_SAGE_main.py:main():353]  > R 13, for the weighted aggregated final model, testing loss: 1.2619e+00, testing acc: 53.76% ( 5376/10000), training loss: 1.41, training acc: 49.01%
[24/11/24 13:49:06, INFO, FSL_SAGE_main.py:main():353]  > R 14, for the weighted aggregated final model, testing loss: 1.2329e+00, testing acc: 54.84% ( 5484/10000), training loss: 1.39, training acc: 49.27%
[24/11/24 13:49:31, INFO, FSL_SAGE_main.py:main():353]  > R 15, for the weighted aggregated final model, testing loss: 1.2436e+00, testing acc: 54.42% ( 5442/10000), training loss: 1.38, training acc: 49.55%
[24/11/24 13:49:57, INFO, FSL_SAGE_main.py:main():353]  > R 16, for the weighted aggregated final model, testing loss: 1.1811e+00, testing acc: 57.58% ( 5758/10000), training loss: 1.34, training acc: 51.37%
[24/11/24 13:50:22, INFO, FSL_SAGE_main.py:main():353]  > R 17, for the weighted aggregated final model, testing loss: 1.2726e+00, testing acc: 53.41% ( 5341/10000), training loss: 1.41, training acc: 48.40%
[24/11/24 13:50:48, INFO, FSL_SAGE_main.py:main():353]  > R 18, for the weighted aggregated final model, testing loss: 1.1768e+00, testing acc: 57.43% ( 5743/10000), training loss: 1.32, training acc: 52.21%
[24/11/24 13:51:13, INFO, FSL_SAGE_main.py:main():353]  > R 19, for the weighted aggregated final model, testing loss: 1.1605e+00, testing acc: 58.53% ( 5853/10000), training loss: 1.31, training acc: 52.87%
[24/11/24 13:51:41, INFO, FSL_SAGE_main.py:main():353]  > R 20, for the weighted aggregated final model, testing loss: 1.1157e+00, testing acc: 59.74% ( 5974/10000), training loss: 1.28, training acc: 54.21%
[24/11/24 13:52:07, INFO, FSL_SAGE_main.py:main():353]  > R 21, for the weighted aggregated final model, testing loss: 1.0943e+00, testing acc: 61.33% ( 6133/10000), training loss: 1.25, training acc: 55.34%
[24/11/24 13:52:32, INFO, FSL_SAGE_main.py:main():353]  > R 22, for the weighted aggregated final model, testing loss: 1.0775e+00, testing acc: 61.93% ( 6193/10000), training loss: 1.22, training acc: 56.35%
[24/11/24 13:52:58, INFO, FSL_SAGE_main.py:main():353]  > R 23, for the weighted aggregated final model, testing loss: 1.0795e+00, testing acc: 61.97% ( 6197/10000), training loss: 1.24, training acc: 55.56%
[24/11/24 13:53:23, INFO, FSL_SAGE_main.py:main():353]  > R 24, for the weighted aggregated final model, testing loss: 1.0497e+00, testing acc: 62.82% ( 6282/10000), training loss: 1.22, training acc: 56.42%
[24/11/24 13:53:49, INFO, FSL_SAGE_main.py:main():353]  > R 25, for the weighted aggregated final model, testing loss: 1.0419e+00, testing acc: 63.62% ( 6362/10000), training loss: 1.19, training acc: 57.71%
[24/11/24 13:54:14, INFO, FSL_SAGE_main.py:main():353]  > R 26, for the weighted aggregated final model, testing loss: 1.0239e+00, testing acc: 63.79% ( 6379/10000), training loss: 1.17, training acc: 58.34%
[24/11/24 13:54:39, INFO, FSL_SAGE_main.py:main():353]  > R 27, for the weighted aggregated final model, testing loss: 1.0236e+00, testing acc: 64.01% ( 6401/10000), training loss: 1.18, training acc: 57.96%
[24/11/24 13:55:05, INFO, FSL_SAGE_main.py:main():353]  > R 28, for the weighted aggregated final model, testing loss: 1.0268e+00, testing acc: 63.68% ( 6368/10000), training loss: 1.18, training acc: 57.74%
[24/11/24 13:55:30, INFO, FSL_SAGE_main.py:main():353]  > R 29, for the weighted aggregated final model, testing loss: 9.9524e-01, testing acc: 64.81% ( 6481/10000), training loss: 1.15, training acc: 58.86%
[24/11/24 13:55:59, INFO, FSL_SAGE_main.py:main():353]  > R 30, for the weighted aggregated final model, testing loss: 1.0027e+00, testing acc: 64.40% ( 6440/10000), training loss: 1.13, training acc: 59.90%
[24/11/24 13:56:24, INFO, FSL_SAGE_main.py:main():353]  > R 31, for the weighted aggregated final model, testing loss: 9.8090e-01, testing acc: 65.97% ( 6597/10000), training loss: 1.13, training acc: 59.95%
[24/11/24 13:56:50, INFO, FSL_SAGE_main.py:main():353]  > R 32, for the weighted aggregated final model, testing loss: 9.9124e-01, testing acc: 65.39% ( 6539/10000), training loss: 1.12, training acc: 60.00%
[24/11/24 13:57:15, INFO, FSL_SAGE_main.py:main():353]  > R 33, for the weighted aggregated final model, testing loss: 9.5752e-01, testing acc: 66.31% ( 6631/10000), training loss: 1.10, training acc: 60.76%
[24/11/24 13:57:40, INFO, FSL_SAGE_main.py:main():353]  > R 34, for the weighted aggregated final model, testing loss: 9.6100e-01, testing acc: 65.95% ( 6595/10000), training loss: 1.10, training acc: 60.69%
[24/11/24 13:58:06, INFO, FSL_SAGE_main.py:main():353]  > R 35, for the weighted aggregated final model, testing loss: 9.4395e-01, testing acc: 67.40% ( 6740/10000), training loss: 1.08, training acc: 61.34%
