[24/11/24 13:37:38, INFO, CSE_FSL_main.py:<module>():315] Using GPU: True
[24/11/24 13:37:40, INFO, CSE_FSL_main.py:main():107] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[24/11/24 13:37:40, INFO, CSE_FSL_main.py:main():112] Random seed: 200
[24/11/24 13:37:40, INFO, CSE_FSL_main.py:main():113] Alignment interval (l): 10
[24/11/24 13:37:40, INFO, CSE_FSL_main.py:main():114] Batch Round (h): 5
[24/11/24 13:38:06, INFO, CSE_FSL_main.py:main():269]  > R  0, agg. final model, testing loss: 2.29, testing acc: 10.54% ( 1054/10000), training loss: 2.29, training acc: 10.71%
[24/11/24 13:38:32, INFO, CSE_FSL_main.py:main():269]  > R  1, agg. final model, testing loss: 1.98, testing acc: 23.65% ( 2365/10000), training loss: 2.04, training acc: 21.60%
[24/11/24 13:38:57, INFO, CSE_FSL_main.py:main():269]  > R  2, agg. final model, testing loss: 1.87, testing acc: 29.54% ( 2954/10000), training loss: 1.93, training acc: 26.35%
[24/11/24 13:39:22, INFO, CSE_FSL_main.py:main():269]  > R  3, agg. final model, testing loss: 1.84, testing acc: 31.68% ( 3168/10000), training loss: 1.92, training acc: 27.63%
[24/11/24 13:39:48, INFO, CSE_FSL_main.py:main():269]  > R  4, agg. final model, testing loss: 1.71, testing acc: 36.02% ( 3602/10000), training loss: 1.83, training acc: 31.07%
[24/11/24 13:40:13, INFO, CSE_FSL_main.py:main():269]  > R  5, agg. final model, testing loss: 1.66, testing acc: 38.86% ( 3886/10000), training loss: 1.77, training acc: 34.39%
[24/11/24 13:40:39, INFO, CSE_FSL_main.py:main():269]  > R  6, agg. final model, testing loss: 1.63, testing acc: 40.20% ( 4020/10000), training loss: 1.75, training acc: 35.50%
[24/11/24 13:41:04, INFO, CSE_FSL_main.py:main():269]  > R  7, agg. final model, testing loss: 1.60, testing acc: 40.30% ( 4030/10000), training loss: 1.74, training acc: 35.01%
[24/11/24 13:41:29, INFO, CSE_FSL_main.py:main():269]  > R  8, agg. final model, testing loss: 1.56, testing acc: 42.56% ( 4256/10000), training loss: 1.70, training acc: 37.56%
[24/11/24 13:41:55, INFO, CSE_FSL_main.py:main():269]  > R  9, agg. final model, testing loss: 1.56, testing acc: 42.53% ( 4253/10000), training loss: 1.69, training acc: 38.33%
[24/11/24 13:42:20, INFO, CSE_FSL_main.py:main():269]  > R 10, agg. final model, testing loss: 1.52, testing acc: 44.65% ( 4465/10000), training loss: 1.66, training acc: 38.76%
[24/11/24 13:42:46, INFO, CSE_FSL_main.py:main():269]  > R 11, agg. final model, testing loss: 1.49, testing acc: 45.28% ( 4528/10000), training loss: 1.62, training acc: 40.34%
[24/11/24 13:43:11, INFO, CSE_FSL_main.py:main():269]  > R 12, agg. final model, testing loss: 1.47, testing acc: 46.09% ( 4609/10000), training loss: 1.61, training acc: 40.99%
[24/11/24 13:43:36, INFO, CSE_FSL_main.py:main():269]  > R 13, agg. final model, testing loss: 1.46, testing acc: 47.07% ( 4707/10000), training loss: 1.59, training acc: 41.96%
[24/11/24 13:44:02, INFO, CSE_FSL_main.py:main():269]  > R 14, agg. final model, testing loss: 1.45, testing acc: 47.40% ( 4740/10000), training loss: 1.59, training acc: 41.60%
[24/11/24 13:44:27, INFO, CSE_FSL_main.py:main():269]  > R 15, agg. final model, testing loss: 1.41, testing acc: 48.83% ( 4883/10000), training loss: 1.55, training acc: 43.60%
[24/11/24 13:44:53, INFO, CSE_FSL_main.py:main():269]  > R 16, agg. final model, testing loss: 1.40, testing acc: 48.69% ( 4869/10000), training loss: 1.54, training acc: 43.81%
